delta,S,regime,n_zero_crossings,v_star
0.08,96,all_action,0,NA
0.08,98,all_action,0,NA
0.08,100,all_action,0,NA
0.08,102,all_action,0,NA
0.08,104,all_action,0,NA
0.08,106,all_action,0,NA
0.08,108,all_action,0,NA
0.08,110,all_action,0,NA
0.08,112,all_action,0,NA
0.08,114,all_action,0,NA
0.08,116,all_action,0,NA
0.08,118,all_action,0,NA
0.08,120,all_action,0,NA
0.08,122,all_action,0,NA
0.08,124,all_action,0,NA
0.08,126,all_action,0,NA
0.08,128,all_action,0,NA
0.08,130,all_action,0,NA
0.08,132,all_action,0,NA
0.08,134,all_action,0,NA
0.08,136,all_action,0,NA
0.08,138,all_action,0,NA
0.08,140,all_action,0,NA
0.08,142,all_action,0,NA
0.08,144,all_action,0,NA
0.08,146,all_action,0,NA
0.08,148,all_action,0,NA
0.08,150,all_action,0,NA
0.08,152,all_action,0,NA
0.08,154,all_action,0,NA
0.08,156,all_action,0,NA
0.08,158,all_action,0,NA
0.08,160,all_action,0,NA
0.08,162,all_action,0,NA
0.08,164,all_action,0,NA
0.08,166,all_action,0,NA
0.08,168,all_action,0,NA
0.08,170,all_action,0,NA
0.08,172,all_action,0,NA
0.08,174,all_action,0,NA
0.08,176,all_action,0,NA
0.08,178,all_action,0,NA
0.08,180,all_action,0,NA
0.08,182,all_action,0,NA
0.08,184,all_action,0,NA
0.08,186,all_action,0,NA
0.08,188,all_action,0,NA
0.08,190,all_action,0,NA
0.08,192,all_action,0,NA
0.08,194,all_action,0,NA
0.08,196,all_action,0,NA
0.08,198,all_action,0,NA
0.08,200,all_action,0,NA
0.09,2,all_action,0,NA
0.09,4,all_action,0,NA
0.09,6,all_action,0,NA
0.09,8,all_action,0,NA
0.09,10,all_action,0,NA
0.09,12,all_action,0,NA
0.09,14,all_action,0,NA
0.09,16,all_action,0,NA
0.09,18,all_action,0,NA
0.09,20,all_action,0,NA
0.09,22,all_action,0,NA
0.09,24,all_action,0,NA
0.09,26,all_action,0,NA
0.09,28,all_action,0,NA
0.09,30,all_action,0,NA
0.09,32,all_action,0,NA
0.09,34,all_action,0,NA
0.09,36,all_action,0,NA
0.09,38,all_action,0,NA
0.09,40,all_action,0,NA
0.09,42,all_action,0,NA
0.09,44,all_action,0,NA
0.09,46,all_action,0,NA
0.09,48,all_action,0,NA
0.09,50,all_action,0,NA
0.09,52,all_action,0,NA
0.09,54,all_action,0,NA
0.09,56,all_action,0,NA
0.09,58,all_action,0,NA
0.09,60,all_action,0,NA
0.09,62,all_action,0,NA
0.09,64,all_action,0,NA
0.09,66,all_action,0,NA
0.09,68,all_action,0,NA
0.09,70,all_action,0,NA
0.09,72,all_action,0,NA
0.09,74,all_action,0,NA
0.09,76,all_action,0,NA
0.09,78,all_action,0,NA
0.09,80,all_action,0,NA
0.09,82,all_action,0,NA
0.09,84,all_action,0,NA
0.09,86,all_action,0,NA
0.09,88,all_action,0,NA
0.09,90,all_action,0,NA
0.09,92,all_action,0,NA
0.09,94,all_action,0,NA
0.09,96,all_action,0,NA
0.09,98,all_action,0,NA
0.09,100,all_action,0,NA
0.09,102,all_action,0,NA
0.09,104,all_action,0,NA
0.09,106,all_action,0,NA
0.09,108,all_action,0,NA
0.09,110,all_action,0,NA
0.09,112,all_action,0,NA
